Rank,Title,Score,Comments
3,Taking apart the 2010 Fisher Price re-released Music Box Record Player,163,438
15,Pre-industrial workers had a shorter workweek than today's (1991),313,373
28,Firefox 94 to start using EGL on Linux,81,355
19,"Raspberry Pi 4 achieves Vulkan 1.1 conformance, gets GPU performance boost",103,300
8,How to help a programming student get unstuck,73,228
10,Show HN: SectorLISP now fits in one sector,64,221
13,How will MIDI 2.0 change music? (2020),112,123
29,"Rare, ancient Maya canoe found in Yucatan",11,94
25,Edward Snowden on corporate media hiring surveillance state operatives and liars,41,91
18,"An ode to the 10,000 RPM Western Digital (Veloci)Raptor",86,87
23,Navy failures destroyed the Bonhomme Richard,97,82
21,Lidar reveals hundreds of long-lost Maya and Olmec ceremonial centers,7,79
6,How I motivate myself to write,23,70
27,Rise of the war machines: Charting the evolution of military technologies,46,63
22,Beyond inductive datatypes: exploring Self types,5,56
14,Schoellkopf Power Station Disaster – a history,6,40
20,"Ask HN: If the Internet were redesigned today, what changes would you make?",30,34
30,Strong AI Requires Autonomous Building of Composable Models,6,34
5,How Long Does It Take Ordinary People to “Get Good” at Chess?,4,24
9,Flexport Is Hiring Engineers to Help Us Uncork Global Supply Chains,0,01
