Rank,Title,Score,Comments
9,Flexport Is Hiring Engineers to Help Us Uncork Global Supply Chains,0,0
4,Explaining Ruby Fibers,3,32
5,How Long Does It Take Ordinary People to “Get Good” at Chess?,4,23
23,Beyond inductive datatypes: exploring Self types,5,56
14,Schoellkopf Power Station Disaster – a history,6,40
30,Strong AI Requires Autonomous Building of Composable Models,6,34
7,Ithkuil IV Language FAQ,7,31
21,Lidar reveals hundreds of long-lost Maya and Olmec ceremonial centers,7,79
25,Looking for High Sierra,9,86
29,"Rare, ancient Maya canoe found in Yucatan",11,94
16,Dangerous Logging in Swift,12,46
1,I Miss the Old Internet,23,60
6,How I motivate myself to write,23,69
20,"Ask HN: If the Internet were redesigned today, what changes would you make?",28,34
26,Edward Snowden on corporate media hiring surveillance state operatives and liars,40,91
27,Rise of the war machines: Charting the evolution of military technologies,46,63
2,Fundamentals of Piano Practice,59,113
10,Show HN: SectorLISP now fits in one sector,64,221
8,How to help a programming student get unstuck,73,228
22,macOS has become more reliable,81,126
28,Firefox 94 to start using EGL on Linux,81,355
18,"An ode to the 10,000 RPM Western Digital (Veloci)Raptor",86,87
11,Internet Hay Exchange,87,275
12,Google DNS at 010.010.010.010,89,152
24,Navy failures destroyed the Bonhomme Richard,97,82
19,"Raspberry Pi 4 achieves Vulkan 1.1 conformance, gets GPU performance boost",103,299
13,How will MIDI 2.0 change music? (2020),112,123
17,Async Ruby,120,225
3,Taking apart the 2010 Fisher Price re-released Music Box Record Player,163,437
15,Pre-industrial workers had a shorter workweek than today's (1991),313,373
